timestamp,equipment_type,flow_rate,pressure,temperature
2026-01-01 08:00:00,Pump,45.2,120.5,65.3
2026-01-01 08:15:00,Pump,46.8,121.2,66.1
2026-01-01 08:30:00,Valve,12.3,85.4,72.8
2026-01-01 08:45:00,Reactor,78.9,200.1,180.5
2026-01-01 09:00:00,Pump,44.1,119.8,64.9
2026-01-01 09:15:00,Heat Exchanger,55.6,95.2,145.2
2026-01-01 09:30:00,Valve,11.9,84.8,71.5
2026-01-01 09:45:00,Reactor,80.2,202.3,182.1
2026-01-01 10:00:00,Pump,47.5,122.1,67.2
2026-01-01 10:15:00,Heat Exchanger,54.8,94.5,143.8
2026-01-01 10:30:00,Compressor,92.1,350.0,95.6
2026-01-01 10:45:00,Pump,45.9,120.8,65.8
2026-01-01 11:00:00,Valve,12.8,86.1,73.2
2026-01-01 11:15:00,Reactor,79.5,201.5,181.3
2026-01-01 11:30:00,Compressor,93.4,352.1,96.2
2026-01-01 11:45:00,Pump,46.2,121.0,66.5
2026-01-01 12:00:00,Tank,0.0,15.2,25.1
2026-01-01 12:15:00,Heat Exchanger,56.1,96.0,146.5
2026-01-01 12:30:00,Valve,13.1,86.8,74.1
2026-01-01 12:45:00,Reactor,81.0,203.5,183.2
2026-01-01 13:00:00,Pump,44.8,120.1,65.0
2026-01-01 13:15:00,Filter,25.3,45.2,28.5
2026-01-01 13:30:00,Separator,38.7,78.9,52.3
2026-01-01 13:45:00,Compressor,91.8,348.5,94.8
2026-01-01 14:00:00,Pump,47.1,121.8,66.9
