Equipment Name,Type,Flowrate,Pressure,Temperature
Centrifugal Pump A,Pump,150.5,2.3,45.2
Heat Exchanger B,Heat Exchanger,200.0,1.8,78.5
CSTR Reactor C,Reactor,175.3,3.1,92.0
Distillation Column D,Column,320.8,1.2,105.7
Compressor E,Compressor,95.2,5.5,38.9
Shell-Tube Exchanger F,Heat Exchanger,180.6,2.0,85.3
PFR Reactor G,Reactor,140.0,4.2,120.5
Absorption Tower H,Column,275.4,0.9,55.8
Reciprocating Pump I,Pump,110.3,3.8,42.1
Plate Exchanger J,Heat Exchanger,165.9,1.5,72.4
Batch Reactor K,Reactor,130.7,2.8,88.6
Stripper Column L,Column,290.2,1.1,98.3
Blower M,Compressor,85.6,1.9,35.2
Condenser N,Heat Exchanger,210.4,1.6,32.5
Flash Drum O,Separator,195.8,2.4,68.9
